Index,ProductId,ProductName,Branch,level_1,level_2,level_3,PricePerItem,PriceMode,HasMultiBuyDeal,MultiBuyDeal,MultiBuyBasePrice,MultiBuyPrice,MultiBuyQuantity,PromoBadgeImageLabel
8613,5010437-EA-000NW,Griffin's Chit Chat Chocolate Biscuits,New World Mt Roskill,Pantry,Biscuits & Crackers,Chocolate Biscuits,2.99,ea,FALSE,,2.99,,,
8614,5010438-EA-000NW,Griffin's Classic Cameo Cremes,New World Mt Roskill,Pantry,Biscuits & Crackers,Crème & Jam Biscuits,2.99,ea,TRUE,Buy 2 for 4.00.,2.99,4,2,Multibuy Super Saver
8615,5010439-EA-000NW,Griffin's Snax Crackers,New World Mt Roskill,Pantry,Biscuits & Crackers,Crackers,3.19,ea,FALSE,,3.19,,,
8616,5010440-EA-000NW,Arnott's Salada Original Crackers,New World Mt Roskill,Pantry,Biscuits & Crackers,Crackers,3.29,ea,FALSE,,3.29,,,
8617,5010441-EA-000NW,Arnott's Farmbake Golden Crunch Biscuits,New World Mt Roskill,Pantry,Biscuits & Crackers,Biscuits & Cookies,3.99,ea,FALSE,,3.99,,,
8618,5010442-EA-000NW,Arnott's Farmbake Peanut Brownie Biscuits,New World Mt Roskill,Pantry,Biscuits & Crackers,Biscuits & Cookies,3.99,ea,FALSE,,3.99,,,
8619,5010443-EA-000NW,Arnott's Farmbake Chocolate Chip Fudge Biscuits,New World Mt Roskill,Pantry,Biscuits & Crackers,Chocolate Biscuits,3.99,ea,FALSE,,3.99,,,
8620,5010444-EA-000NW,Arnott's Farmbake Crunchy Oat & Fruit Biscuits,New World Mt Roskill,Pantry,Biscuits & Crackers,Biscuits & Cookies,3.99,ea,FALSE,,3.99,,,
8621,5010445-EA-000NW,Arnott's Farmbake Chocolate Chip Biscuits,New World Mt Roskill,Pantry,Biscuits & Crackers,Chocolate Biscuits,3.99,ea,FALSE,,3.99,,,
8622,5010446-EA-000NW,Arnott's Farmbake Butter Shortbread Biscuits,New World Mt Roskill,Pantry,Biscuits & Crackers,Biscuits & Cookies,3.99,ea,FALSE,,3.99,,,
8623,5010447-EA-000NW,Arnott's Farmbake White Choc Biscuits,New World Mt Roskill,Pantry,Biscuits & Crackers,Chocolate Biscuits,3.99,ea,FALSE,,3.99,,,
8624,5010448-EA-000NW,Arnott's Farmbake Triple Choc Biscuits,New World Mt Roskill,Pantry,Biscuits & Crackers,Chocolate Biscuits,3.99,ea,FALSE,,3.99,,,
8625,5010449-EA-000NW,Arnott's Digestive Milk Chocolate Biscuits,New World Mt Roskill,Pantry,Biscuits & Crackers,Chocolate Biscuits,3.29,ea,FALSE,,3.29,,,
8626,5010451-EA-000NW,Arnott's Digestives Fruit & Milk Chocolate Biscuits,New World Mt Roskill,Pantry,Biscuits & Crackers,Chocolate Biscuits,3.29,ea,FALSE,,3.29,,,
8627,5010453-EA-000NW,Griffin's Toffee Pops Original Chocolate Biscuits,New World Mt Roskill,Pantry,Biscuits & Crackers,Chocolate Biscuits,3.09,ea,TRUE,Buy 2 for 5.50.,3.09,5.5,2,Multibuy Super Saver
8628,5010454-EA-000NW,Arnott's Cracked Pepper Water Crackers,New World Mt Roskill,Pantry,Biscuits & Crackers,Crackers,2.15,ea,FALSE,,2.15,,,
8629,5010455-EA-000NW,Arnott's Original Water Crackers,New World Mt Roskill,Pantry,Biscuits & Crackers,Crackers,2.15,ea,FALSE,,2.15,,,
8630,5010457-EA-000NW,Cadbury Freddo Dairy Milk Chocolate Sharepack,New World Mt Roskill,Pantry,Confectionery,Chocolate Family Bags,3.49,ea,FALSE,,3.49,3.49,1,Club Deal
8631,5010460-EA-000NW,RJ's Fabulicious Raspberry Twister Confectionery,New World Mt Roskill,Pantry,Confectionery,Lollies Family Bags,3.09,ea,FALSE,,3.09,,,
8632,5010466-EA-000NW,RJ's Mackintosh's Toffee De Luxe Confectionery,New World Mt Roskill,Pantry,Confectionery,Lollies Family Bags,3.09,ea,FALSE,,3.09,,,
8633,5010477-EA-000NW,Cadbury Dairy Milk Fruiit & Nut Chocolate Bar,New World Mt Roskill,Pantry,Confectionery,Novelty Bars & Singles,1,ea,FALSE,Limit 12 assorted,1,1,1,Super Saver Club Deal
8634,5010478-EA-000NW,Cadbury Dairy Milk Black Forest Chocolate Bar,New World Mt Roskill,Pantry,Confectionery,Novelty Bars & Singles,1,ea,FALSE,Limit 12 assorted,1,1,1,Super Saver Club Deal
8635,5010479-EA-000NW,Cadbury Dream Chocolate Bar,New World Mt Roskill,Pantry,Confectionery,Novelty Bars & Singles,1,ea,FALSE,Limit 12 assorted,1,1,1,Super Saver Club Deal
8636,5010480-EA-000NW,Cadbury Dairy Milk Caramello Chocolate Bar,New World Mt Roskill,Pantry,Confectionery,Novelty Bars & Singles,1,ea,FALSE,Limit 12 assorted,1,1,1,Super Saver Club Deal
8637,5010481-EA-000NW,Cadbury Dairy Milk Chocolate Bar,New World Mt Roskill,Pantry,Confectionery,Novelty Bars & Singles,1,ea,FALSE,Limit 12 assorted,1,1,1,Super Saver Club Deal
8638,5010497-EA-000NW,Pascall Pineapple Lumps Confectionery,New World Mt Roskill,Pantry,Confectionery,Lollies Family Bags,1.99,ea,FALSE,Limit 12 assorted,1.99,1.99,1,Super Saver
8639,5010502-EA-000NW,Pascall Marshmallows Pink & White Fat Free,New World Mt Roskill,Pantry,Confectionery,Lollies Family Bags,1.99,ea,FALSE,Limit 12 assorted,1.99,1.99,1,Super Saver
8640,5010518-EA-000NW,RJ's Heards Glucose Energy Barley Sugar Confectionery,New World Mt Roskill,Pantry,Confectionery,Lollies Family Bags,3.39,ea,FALSE,,3.39,,,
8641,5010519-EA-000NW,RJ's Heards Glucose Energy Fruit Refresher Confectionery,New World Mt Roskill,Pantry,Confectionery,Lollies Family Bags,3.39,ea,FALSE,,3.39,,,
8642,5010520-EA-000NW,Nestle Milkybar Classic White Chocolate Block,New World Mt Roskill,Pantry,Confectionery,Chocolate Blocks,3.39,ea,FALSE,,3.39,,,
8643,5010522-EA-000NW,Nestle Kit Kat Family Break Milk Chocolate Block,New World Mt Roskill,Pantry,Confectionery,Chocolate Blocks,3.39,ea,FALSE,,3.39,,,
8644,5010524-EA-000NW,Mentos Mint Roll Confectionery,New World Mt Roskill,Pantry,Confectionery,Chewing Gum & Mints,1.29,ea,FALSE,,1.29,,,
8645,5010525-EA-000NW,Mentos Fruit Roll Confectionery,New World Mt Roskill,Pantry,Confectionery,Chewing Gum & Mints,1.29,ea,FALSE,,1.29,,,
8646,5010526-EA-000NW,Mentos Spearmint Roll Confectionery,New World Mt Roskill,Pantry,Confectionery,Chewing Gum & Mints,1.29,ea,FALSE,,1.29,,,
8647,5010538-EA-000NW,Whittaker's Peanut Slab Milk Chocolate Bar,New World Mt Roskill,Pantry,Confectionery,Novelty Bars & Singles,1.29,ea,FALSE,,1.29,1.29,1,Saver
8648,5010544-EA-000NW,Wrigley's PK Chewing Gum,New World Mt Roskill,Pantry,Confectionery,Chewing Gum & Mints,1.19,ea,FALSE,,1.19,,,
8649,5010547-EA-000NW,Trident Sweet Chilli Sauce,New World Mt Roskill,Pantry,Condiments & Dressings,Chilli & Pepper Sauces,1.99,ea,FALSE,,1.99,1.99,1,Club Deal
8650,5010548-EA-000NW,Trident Sweet Chilli Sauce With Ginger,New World Mt Roskill,Pantry,Condiments & Dressings,Chilli & Pepper Sauces,1.99,ea,FALSE,,1.99,1.99,1,Club Deal
