,ProductId,ProductName,Branch,level_1,level_2,level_3,Image,ProductUrl,PricePerItem,PriceMode,HasMultiBuyDeal,MultiBuyDeal,MultiBuyBasePrice,MultiBuyPrice,MultiBuyQuantity,PromoBadgeImageLabel
6548,5026588-EA-000NW,OzKleen Mould Power Mould Remover,New World Mt Roskill,"Kitchen, Dining & Household",Cleaning Products,Bathroom & Shower Cleaners,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5026588.png,www.ishopnewworld.co.nz/product/5026588_ea_000nw?name=mould-power-mould-remover,7.29,ea,False,No,7.29,0.0,0.0,No
6549,5026791-EA-000NW,Scotch-Brite Non-Scratch Dishwand Refills,New World Mt Roskill,"Kitchen, Dining & Household",Cleaning Products,Cleaning Accessories,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5026791.png,www.ishopnewworld.co.nz/product/5026791_ea_000nw?name=non-scratch-dishwand-refills,3.99,ea,False,No,3.99,3.99,1.0,Saver
6550,5027458-EA-000NW,Sistema TO GO Klip It Yoghurt To Go Container,New World Mt Roskill,"Kitchen, Dining & Household",Household,Food Storage,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5027458.png,www.ishopnewworld.co.nz/product/5027458_ea_000nw?name=klip-it-yoghurt-to-go-container,2.49,ea,False,No,2.49,0.0,0.0,No
6551,5027901-EA-000NW,OzKleen Shower Power Citrus Fresh Bathroom Cleaner,New World Mt Roskill,"Kitchen, Dining & Household",Cleaning Products,Bathroom & Shower Cleaners,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5027901.png,www.ishopnewworld.co.nz/product/5027901_ea_000nw?name=shower-power-citrus-fresh-bathroom-cleaner,9.99,ea,False,No,9.99,0.0,0.0,No
6552,5028025-EA-000NW,Dish Magazine,New World Mt Roskill,"Kitchen, Dining & Household",Stationery & Entertainment,Magazines,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5028025.png,www.ishopnewworld.co.nz/product/5028025_ea_000nw?name=magazine,10.9,ea,False,No,10.9,0.0,0.0,No
6553,5028026-EA-000NW,Homestyle Magazine,New World Mt Roskill,"Kitchen, Dining & Household",Stationery & Entertainment,Magazines,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5028026.png,www.ishopnewworld.co.nz/product/5028026_ea_000nw?name=magazine,11.5,ea,False,No,11.5,0.0,0.0,No
6554,5028045-EA-000NW,Healthy Food Guide Magazine,New World Mt Roskill,"Kitchen, Dining & Household",Stationery & Entertainment,Magazines,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5028045.png,www.ishopnewworld.co.nz/product/5028045_ea_000nw?name=magazine,6.7,ea,False,No,6.7,0.0,0.0,No
6555,5028046-EA-000NW,NZ Life & Leisure Magazine,New World Mt Roskill,"Kitchen, Dining & Household",Stationery & Entertainment,Magazines,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5028046.png,www.ishopnewworld.co.nz/product/5028046_ea_000nw?name=magazine,11.5,ea,False,No,11.5,0.0,0.0,No
6556,5028111-EA-000NW,Mindfood Magazine,New World Mt Roskill,"Kitchen, Dining & Household",Stationery & Entertainment,Magazines,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5028111.png,www.ishopnewworld.co.nz/product/5028111_ea_000nw?name=magazine,9.99,ea,False,No,9.99,0.0,0.0,No
6557,5028172-EA-000NW,Rethink Reusable Fresh Produce Bags Multipack,New World Mt Roskill,"Kitchen, Dining & Household",Household,Homeware,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5028172.png,www.ishopnewworld.co.nz/product/5028172_ea_000nw?name=reusable-fresh-produce-bags-multipack,7.99,ea,False,No,7.99,0.0,0.0,No
6558,5028382-EA-000NW,Bic Clic Blue Ballpoint Pens,New World Mt Roskill,"Kitchen, Dining & Household",Stationery & Entertainment,Stationery & Craft,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5028382.png,www.ishopnewworld.co.nz/product/5028382_ea_000nw?name=clic-blue-ballpoint-pens,2.99,ea,False,No,2.99,0.0,0.0,Everyday Value
